track_file; hashed_config; timestamp of the run; had_video; was_guided; was_force_merge_allowed; distance_from_calculated_arena; min_trace_length; bee_max_step_length; bee_max_step_len_per_frame; min_trace_length_to_merge; max_trace_gap; max_overlap_length; max_step_distance_to_merge_overlapping_traces; min_step_distance_to_merge_overlapping_traces; max_shift; force_merge_vicinity_distance; vicinity_of_short_traces; maximal_distance_to_check_for_trace_swapping; max_trace_gap_to_interpolate_distance; screen_size; loaded traces; inside arena; zero length; jumps forth and back fixed; traces swapped; after first gaps and redundant; after merging overlapping traces; population size; ;file_id 
../data/Video_tracking/190906/20190906_152940727_1BEE_generated_20210607_101247_nn.csv; 5537095342118715238; 2023-03-16 02:15:29.238841; True; False; False; 50; 100; 70; 20; 50; 100; ; 120; 49; 0; 508; 200; 100;  50; [[0, 900], [0, 900]]; 2; 2; 2; 0; 0; 1; 1; 1; ;10 
../data/Video_tracking/190906/20190906_152940727_1BEE_generated_20210607_101247_nn.csv; 3282990644793373777; 2023-03-21 17:16:55.382868; True; False; False; 49; 100; 70; 20; 50; 100; ; 120; 49; 0; 508; 200; 100;  50; [[0, 900], [0, 900]]; 2; 2; 2; 0; 0; 1; 1; 1; ;10 
../data/Video_tracking/190906/20190906_152940727_1BEE_generated_20210607_101247_nn.csv; 3282990644793373777; 2023-03-27 14:13:35.663083; True; False; False; 49; 100; 70; 20; 50; 100; ; 120; 49; 0; 508; 200; 100;  50; [[0, 900], [0, 900]]; 2; 2; 2; 0; 0; 1; 1; 1; ;10 
../data/Video_tracking/190906/20190906_152940727_1BEE_generated_20210607_101247_nn.csv; 3282990644793373777; 2023-03-27 15:05:23.573371; True; False; False; 49; 100; 70; 20; 50; 100; ; 120; 49; 200; 508; 200; 100;  50; [[0, 900], [0, 900]]; 2; 2; 2; 0; 0; 1; 1; 1; ;10 
../data/Video_tracking/190906/20190906_152940727_1BEE_generated_20210607_101247_nn.csv; 273294897399109140; 2023-04-16 19:40:42.787703; True; False; False; 49; 100; 70; 20; 50; 100; ; 120; 43; 90; 508; 200; 100;  50; [[0, 900], [0, 900]]; 2; 2; 2; 0; 0; 1; 1; 1; ;10 
../data/Video_tracking/190906/20190906_152940727_1BEE_generated_20210607_101247_nn.csv; 1695910011231050619; 2023-04-20 11:43:40.768883; True; False; False; 49; 100; 70; 20; 50; 100; 172; 120; 43; 90; 508; 200; 100;  50; [[0, 900], [0, 900]]; 2; 2; 2; 0; 0; 1; 1; 1; ;10 
10
../data/Video_tracking/190916/20190916_122643082_1BEE_generated_20210608_090120_nn.csv; 5537095342118715238; 2023-03-16 02:15:29.883205; False; False; False; 50; 100; 70; 20; 50; 100; ; 120; 49; 0; 508; 200; 100;  50; [[0, 900], [0, 900]]; 391; 391; 273; 16; 0; 24; 22; 1; ;11 
../data/Video_tracking/190916/20190916_122643082_1BEE_generated_20210608_090120_nn.csv; 3282990644793373777; 2023-03-21 17:16:56.050021; False; False; False; 49; 100; 70; 20; 50; 100; ; 120; 49; 0; 508; 200; 100;  50; [[0, 900], [0, 900]]; 391; 391; 273; 16; 0; 24; 22; 1; ;11 
../data/Video_tracking/190916/20190916_122643082_1BEE_generated_20210608_090120_nn.csv; 3282990644793373777; 2023-03-27 14:13:36.325985; False; False; False; 49; 100; 70; 20; 50; 100; ; 120; 49; 0; 508; 200; 100;  50; [[0, 900], [0, 900]]; 391; 391; 273; 16; 0; 24; 22; 1; ;11 
