track_file; timestamp of the run; had_video; was_guided; was_force_merge_allowed; distance_from_calculated_arena; max_trace_gap; min_trace_length; bee_max_step_len; bee_max_step_len_per_frame; max_trace_gap_to_interpolate_distance; max_step_distance_to_merge_overlapping_traces; force_merge_vicinity; screen_size; loaded traces; inside arena; zero length; jumps forth and back fixed; traces swapped; after first gaps and redundant; after merging overlapping traces; population size 
../data/Video_tracking/190905/20190905_113138227_1BEE_generated_20210528_064758_nn.csv; 2022-10-31 13:08:41.009259; Unknown; Unknown; Unknown; 50; 100; ; 50; 70; 20; 150; 120; 200; [[0, 900], [0, 900]]; 112; 111; 50; 2; 0; 14; 10; 1
../data/Video_tracking/190905/20190905_113138227_1BEE_generated_20210528_064758_nn.csv; 2022-10-31 15:08:57.315313; Unknown; Unknown; Unknown; 50; 100; ; 50; 70; 20; 150; 120; 0; [[0, 900], [0, 900]]; 112; 111; 50; 2; 0; 6; 1; 1
../data/Video_tracking/190905/20190905_113138227_1BEE_generated_20210528_064758_nn.csv; 2022-11-15 19:34:45.345948; Unknown; Unknown; Unknown; 50; 100; 26; 50; 70; 20; 150; 120; 0; [[0, 900], [0, 900]]; 112; 111; 19; 1; 0; 2; 1; 1
../data/Video_tracking/190905/20190905_113138227_1BEE_generated_20210528_064758_nn.csv; 2022-11-16 15:29:10.763867; Unknown; Unknown; Unknown; 50; 100; 100; 50; 70; 20; 150; 120; 0; [[0, 900], [0, 900]]; 112; 111; 4; 1; 0; 1; 1; 1
../data/Video_tracking/190905/20190905_113138227_1BEE_generated_20210528_064758_nn.csv; 2022-11-23 18:14:24.263252; Unknown; Unknown; Unknown; 50; 100; 26; 50; 70; 20; 150; 120; 0; [[0, 900], [0, 900]]; 112; 111; 47; 2; 0; 6; 1; 1
../data/Video_tracking/190905/20190905_113138227_1BEE_generated_20210528_064758_nn.csv; 2022-12-07 13:45:45.732760; Unknown; Unknown; Unknown; 50; 100; 1; 50; 70; 20; 50; 100; 500; [[0, 900], [0, 900]]; 112; 111; 50; 2; 0; 17; 13; 1
../data/Video_tracking/190905/20190905_113138227_1BEE_generated_20210528_064758_nn.csv; 2023-01-10 17:18:27.751918; False; True; False; 50; 100; 1; 50; 70; 20; 50; 100; 500; [[0, 900], [0, 900]]; 17; 12; 12; 0; 0; 12; 12; 1
../data/Video_tracking/190906/20190906_152940727_1BEE_generated_20210607_101247_nn.csv; 2022-10-19 17:10:43.341367; Unknown; Unknown; Unknown; 50; 150; ; 10; 50; 28; 100; 200; ; [[0, 900], [0, 900]]; 2; 2; ; 0; 0; 1; 1; 1
../data/Video_tracking/190906/20190906_152940727_1BEE_generated_20210607_101247_nn.csv; 2022-10-24 22:25:27.438564; Unknown; Unknown; Unknown; 53; 150; ; 10; 50; 28; 100; 200; ; [[0, 900], [0, 900]]; 2; 2; ; 0; 0; 1; 1; 1
../data/Video_tracking/190906/20190906_152940727_1BEE_generated_20210607_101247_nn.csv; 2022-10-25 16:30:33.611612; Unknown; Unknown; Unknown; 50; 500; ; 1; 50; 28; 100; 200; ; [[0, 900], [0, 900]]; 2; 2; ; 0; 0; 1; 1; 1
../data/Video_tracking/190906/20190906_152940727_1BEE_generated_20210607_101247_nn.csv; 2022-10-25 18:04:53.772562; Unknown; Unknown; Unknown; 50; 300; ; 1; 50; 28; 100; 200; ; [[0, 900], [0, 900]]; 2; 2; ; 0; 0; 1; 1; 1
../data/Video_tracking/190906/20190906_152940727_1BEE_generated_20210607_101247_nn.csv; 2022-10-25 18:06:58.266274; Unknown; Unknown; Unknown; 50; 200; ; 1; 50; 28; 100; 200; ; [[0, 900], [0, 900]]; 2; 2; ; 0; 0; 1; 1; 1
../data/Video_tracking/190906/20190906_152940727_1BEE_generated_20210607_101247_nn.csv; 2022-10-25 18:09:03.140247; Unknown; Unknown; Unknown; 50; 200; ; 10; 50; 28; 100; 200; ; [[0, 900], [0, 900]]; 2; 2; ; 0; 0; 1; 1; 1
../data/Video_tracking/190906/20190906_152940727_1BEE_generated_20210607_101247_nn.csv; 2022-10-27 17:36:33.243298; Unknown; Unknown; Unknown; 53; 150; ; 10; 50; 28; 100; 200; ; [[0, 900], [0, 900]]; 2; 2; 2; 0; 0; 1; 1; 1
../data/Video_tracking/190906/20190906_152940727_1BEE_generated_20210607_101247_nn.csv; 2022-10-27 18:31:44.513754; Unknown; Unknown; Unknown; 53; 150; ; 10; 50; 28; 100; 200; 200; [[0, 900], [0, 900]]; 2; 2; 2; 0; 0; 1; 1; 1
../data/Video_tracking/190906/20190906_152940727_1BEE_generated_20210607_101247_nn.csv; 2022-10-31 13:08:41.902899; Unknown; Unknown; Unknown; 50; 100; ; 50; 70; 20; 150; 120; 200; [[0, 900], [0, 900]]; 2; 2; 2; 0; 0; 1; 1; 1
../data/Video_tracking/190906/20190906_152940727_1BEE_generated_20210607_101247_nn.csv; 2022-10-31 15:08:58.227994; Unknown; Unknown; Unknown; 50; 100; ; 50; 70; 20; 150; 120; 0; [[0, 900], [0, 900]]; 2; 2; 2; 0; 0; 1; 1; 1
../data/Video_tracking/190906/20190906_152940727_1BEE_generated_20210607_101247_nn.csv; 2022-11-15 19:34:46.326797; Unknown; Unknown; Unknown; 50; 100; 26; 50; 70; 20; 150; 120; 0; [[0, 900], [0, 900]]; 2; 2; 2; 0; 0; 1; 1; 1
